shop,datetime,price_reg,price_promo,article,name,category_path
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:33,999,999,в223539,"Вино Familia Bastida, ""Talma"" Garnacha, La Mancha DO, 2022 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:36,799,799,в171428,"Вино Familia Bastida, ""Talma"" Garnacha, La Mancha DO, 2019 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:39,799,799,в206491,"Вино Familia Bastida, ""Talma"" Garnacha, La Mancha DO, 2021 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:43,799,799,в186429,"Вино Familia Bastida, ""Talma"" Garnacha, La Mancha DO, 2020 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:28,1799,1799,в235558,"Вино Sander, Riesling, 2023 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:32,1590,1590,в69463,"Вино Sander, Riesling Trocken, 2015 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:35,1429,1429,в150485,"Вино Sander, Riesling Trocken, 2019 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:39,1499,1499,в198254,"Вино Sander, Riesling Trocken, 2021 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:43,1599,1599,в211741,"Вино Sander, Riesling Trocken, 2022 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:46,1339,1339,в134397,"Вино Sander, Riesling Trocken, 2018 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:54:49,1490,1490,в164202,"Вино Sander, Riesling Trocken, 2020 ",Вино
