shop                                           ,datetime            ,price_reg ,price_promo ,article ,name                                                                                       ,category_path
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:55 ,     1990 ,       1990 ,в206495 ,"Вино Chateau Hyot, Castillon Cotes de Bordeaux AOP, 2018 "                                ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:57 ,     1780 ,       1780 ,в134381 ,"Вино Chateau Hyot, Castillon Cotes de Bordeaux AOP, 2016 "                                ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:40 ,     2530 ,       1999 ,в4227   ,"Виски ""Tullamore Dew"",  0.7 л"                                                          ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:44 ,     2190 ,       2190 ,в4226   ,"Виски Tullamore Dew,  350 мл"                                                             ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:51 ,     4490 ,       4490 ,в4228   ,"Виски ""Tullamore Dew"",  1 л"                                                            ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:55 ,      609 ,        609 ,в31885  ,"Виски ""Tullamore Dew"",  50 мл"                                                          ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:59 ,     2829 ,       2829 ,в35852  ,"Виски ""Tullamore Dew"",  0.5 л"                                                          ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:55 ,     2490 ,       1890 ,в33561  ,"Джин ""Greenall's"" Original London Dry,  0.7 л"                                          ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:59 ,     3790 ,       3790 ,в47541  ,"Джин ""Greenall's"" Original London Dry,  1 л"                                            ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:33 ,     2799 ,       2490 ,в243524 ,"Вино Ramirez de la Piscina, Reserva, Rioja DOCa, 2019 "                                   ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:38 ,     1750 ,       1750 ,в122045 ,"Вино Ramirez de la Piscina, Reserva, Rioja DOCa, 2014 "                                   ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:43 ,     1999 ,       1999 ,в150479 ,"Вино Ramirez de la Piscina, Reserva, Rioja DOCa, 2015 "                                   ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:51 ,     1999 ,       1999 ,в179831 ,"Вино Ramirez de la Piscina, Reserva, Rioja DOCa, 2016 "                                   ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:56 ,     2499 ,       2499 ,в223537 ,"Вино Ramirez de la Piscina, Reserva, Rioja DOCa, 2018 "                                   ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:27:03 ,     1999 ,       1999 ,в198159 ,"Вино Ramirez de la Piscina, Reserva, Rioja DOCa, 2017 "                                   ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:27:08 ,     4460 ,       2499 ,в50307  ,"Ром Ron Barcelo, ""Imperial"", gift box,  0.7 л"                                          ,
