shop                                           ,datetime            ,price_reg ,price_promo ,article ,name                                                                                                          ,category_path
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:09:01 ,     2990 ,       2290 ,в247791 ,"Вино Domaine de Champ Fleury, ""Les Vins Allegresse"" Pinot Noir, Bourgogne AOC, 2023 "                      ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:08:52 ,     1599 ,       1599 ,в240891 ,"Вино ""40"" Appassimento, Puglia IGT, 2023 "                                                                 ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:08:57 ,     1190 ,       1190 ,в192644 ,"Вино ""40"" Appassimento, Puglia IGT, 2020 "                                                                 ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:09:00 ,     1199 ,       1199 ,в206485 ,"Вино ""40"" Appassimento, Puglia IGT, 2021 "                                                                 ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:09:03 ,     1599 ,       1599 ,в223544 ,"Вино ""40"" Appassimento, Puglia IGT, 2022 "                                                                 ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:09:01 ,     2199 ,       2199 ,в227161 ,"Вино Montedidio, ""Vino Antorino"" Primitivo, Puglia IGT, 2022 "                                             ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:09:09 ,     1499 ,       1499 ,в198244 ,"Вино Montedidio, ""Vino Antorino"" Primitivo, Puglia IGT, 2021 "                                             ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:08:59 ,     2199 ,       2199 ,в247783 ,"Вино ""Pierre Brecht"" Riesling, Alsace AOC, 2023 "                                                          ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:09:02 ,     1999 ,       1999 ,в232822 ,"Вино ""Pierre Brecht"" Riesling, Alsace AOC, 2022 "                                                          ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:09:09 ,     1999 ,       1999 ,в217045 ,"Вино ""Pierre Brecht"" Riesling, Alsace AOC, 2021 "                                                          ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:09:09 ,     1699 ,       1699 ,в247784 ,"Вино ""Alain de la Treille"" Sauvignon Blanc VdF, 2023 "                                                     ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:09:13 ,     1499 ,       1499 ,в227171 ,"Вино ""Alain de la Treille"" Sauvignon Blanc VdF, 2022 "                                                     ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:09:14 ,     1499 ,       1499 ,в182857 ,"Вино Casa Ermelinda Freitas, Moscatel de Setubal DO "                                                        ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:09:11 ,     1599 ,       1599 ,в235549 ,"Вино ""Bermont"" Rouge, Pays d'Herault IGP, 2023 "                                                           ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:09:14 ,     1399 ,       1399 ,в223545 ,"Вино ""Bermont"" Rouge, Pays d'Herault IGP, 2022 "                                                           ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:09:17 ,     1099 ,       1099 ,в198318 ,"Вино ""Bermont"" Rouge, Pays d'Herault IGP, 2020 "                                                           ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:09:16 ,     1699 ,       1699 ,в247785 ,"Вино ""Alain de la Treille"" Pinot Noir VdF, 2023 "                                                          ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:09:19 ,     1499 ,       1499 ,в227173 ,"Вино ""Alain de la Treille"" Pinot Noir VdF, 2022 "                                                          ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:59 ,     1699 ,       1699 ,в243541 ,"Вино ""La Calla"" Appassimento, Puglia IGT, 2022 "                                                           ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:08:03 ,      999 ,        999 ,в206546 ,"Вино ""Varanda dos Reis"" Rosado, Vinho Verde DOC "                                                          ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:08:01 ,     1999 ,       1999 ,в235559 ,"Вино Weingut Hauck, Riesling Spatlese Alte Reben Trocken, 2023 "                                             ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:08:03 ,     1699 ,       1699 ,в179843 ,"Вино Weingut Hauck, Riesling Spatlese Alte Reben Trocken, 2020 "                                             ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:08:08 ,     1699 ,       1699 ,в192603 ,"Вино Weingut Hauck, Riesling Spatlese Alte Reben Trocken, 2021 "                                             ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:08:12 ,     1990 ,       1990 ,в217053 ,"Вино Weingut Hauck, Riesling Spatlese Alte Reben Trocken, 2022 "                                             ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:08:07 ,     1699 ,       1699 ,в192600 ,"Вино Montedidio, ""San Domino"" Primitivo, Puglia IGT, 2021 "                                                ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:08:09 ,     1149 ,       1149 ,в139601 ,"Вино Montedidio, ""San Domino"" Primitivo, Puglia IGT, 2018 "                                                ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:08:11 ,     1199 ,       1199 ,в160650 ,"Вино Montedidio, ""San Domino"" Primitivo, Puglia IGT, 2019 "                                                ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:08:14 ,     1099 ,       1099 ,в173727 ,"Вино Montedidio, ""San Domino"" Primitivo, Puglia IGT, 2020 "                                                ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:08:10 ,     1199 ,       1199 ,в240888 ,"Вино Casa Ermelinda Freitas, ""Vinha da Fonte"" Touriga Nacional, 2022 "                                     ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:08:14 ,      889 ,        889 ,в179832 ,"Вино Casa Ermelinda Freitas, ""Vinha da Fonte"" Touriga Nacional, 2020 "                                     ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:08:18 ,     1199 ,       1199 ,в192601 ,"Вино Casa Ermelinda Freitas, ""Vinha da Fonte"" Touriga Nacional, 2021 "                                     ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:08:04 ,     1699 ,       1699 ,в232821 ,"Вино Chateau de la Turmeliere, Muscadet Sevre et Maine Sur Lie AOP, 2022 "                                   ,
